600,"MONEXCB","Monex Casa de Bolsa, S.A. de C.V. Monex Grupo Financiero","2014-02-05 22:59:36",1
601,"GBM","GBM Grupo Bursátil Mexicano, S.A. de C.V. Casa de Bolsa","2014-02-05 22:59:36",0
602,"MASARI","Masari Casa de Bolsa, S.A.","2014-02-05 22:59:36",0
605,"VALUE","Value, S.A. de C.V. Casa de Bolsa","2014-02-05 22:59:36",0
606,"ESTRUCTURADORES","Estructuradores del Mercado de Valores Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
607,"TIBER","Casa de Cambio Tiber, S.A. de C.V.","2014-02-05 22:59:36",0
608,"VECTOR","Vector Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
610,"B&B","B y B, Casa de Cambio, S.A. de C.V.","2014-02-05 22:59:36",0
614,"ACCIVAL","Acciones y Valores Banamex, S.A. de C.V., Casa de Bolsa","2014-02-05 22:59:36",0
615,"MERRILL LYNCH","Merrill Lynch México, S.A. de C.V. Casa de Bolsa","2014-02-05 22:59:36",0
616,"FINAMEX","Casa de Bolsa Finamex, S.A. de C.V.","2014-02-05 22:59:36",0
617,"VALMEX","Valores Mexicanos Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
618,"UNICA","Unica Casa de Cambio, S.A. de C.V.","2014-02-05 22:59:36",0
619,"MAPFRE","MAPFRE Tepeyac, S.A.","2014-02-05 22:59:36",0
620,"PROFUTURO","Profuturo G.N.P., S.A. de C.V., Afore","2014-02-05 22:59:36",0
621,"CB ACTINVER","Actinver Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
622,"OACTIN","OPERADORA ACTINVER, S.A. DE C.V.","2014-02-05 22:59:36",0
623,"SKANDIA","Skandia Vida, S.A. de C.V.","2014-02-05 22:59:36",0
626,"CBDEUTSCHE","Deutsche Securities, S.A. de C.V. CASA DE BOLSA","2014-02-05 22:59:36",0
627,"ZURICH","Zurich Compañía de Seguros, S.A.","2014-02-05 22:59:36",0
628,"ZURICHVI","Zurich Vida, Compañía de Seguros, S.A.","2014-02-05 22:59:36",0
629,"SU CASITA","Hipotecaria Su Casita, S.A. de C.V. SOFOM ENR","2014-02-05 22:59:36",0
630,"CB INTERCAM","Intercam Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",1
631,"CI BOLSA","CI Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
632,"BULLTICK CB","Bulltick Casa de Bolsa, S.A., de C.V.","2014-02-05 22:59:36",0
633,"STERLING","Sterling Casa de Cambio, S.A. de C.V.","2014-02-05 22:59:36",0
634,"FINCOMUN","Fincomún, Servicios Financieros Comunitarios, S.A. de C.V.","2014-02-05 22:59:36",0
636,"HDI SEGUROS","HDI Seguros, S.A. de C.V.","2014-02-05 22:59:36",0
637,"ORDER","Order Express Casa de Cambio, S.A. de C.V","2014-02-05 22:59:36",0
638,"AKALA","Akala, S.A. de C.V., Sociedad Financiera Popular","2014-02-05 22:59:36",0
640,"CB JPMORGAN","J.P. Morgan Casa de Bolsa, S.A. de C.V. J.P. Morgan Grupo Financiero","2014-02-05 22:59:36",0
642,"REFORMA","Operadora de Recursos Reforma, S.A. de C.V., S.F.P.","2014-02-05 22:59:36",0
646,"STP","Sistema de Transferencias y Pagos STP, S.A. de C.V.SOFOM ENR","2014-02-05 22:59:36",0
647,"TELECOMM","Telecomunicaciones de México","2014-02-05 22:59:36",0
648,"EVERCORE","Evercore Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
649,"SKANDIA","Skandia Operadora de Fondos, S.A. de C.V.","2014-02-05 22:59:36",0
651,"SEGMTY","Seguros Monterrey New York Life, S.A de C.V","2014-02-05 22:59:36",0
652,"ASEA","Solución Asea, S.A. de C.V., Sociedad Financiera Popular","2014-02-05 22:59:36",0
653,"KUSPIT","Kuspit Casa de Bolsa, S.A. de C.V.","2014-02-05 22:59:36",0
655,"SOFIEXPRESS","J.P. SOFIEXPRESS, S.A. de C.V., S.F.P.","2014-02-05 22:59:36",0
656,"UNAGRA","UNAGRA, S.A. de C.V., S.F.P.","2014-02-05 22:59:36",0
659,"OPCIONES EMPRESARIALE","OPCIONES EMPRESARIALES DEL NORESTE, S.A. DE C.V., S.F.P.","2014-02-05 22:59:36",0
670,"LIBERTAD","Libertad Servicios Financieros, S.A. De C.V.","2014-02-05 22:59:36",0
901,"CLS","Cls Bank International","2014-02-05 22:59:36",0
902,"INDEVAL","SD. Indeval, S.A. de C.V.","2014-02-05 22:59:36",0
999,N/A,"No identificado","2015-02-27 14:07:36",1
BCO_1,"BANCO NO IDENTIFICADO","Banco No identificado","2012-07-02 11:52:48",0
