
80151600,"Servicios de comercio internacional",2016-10-01,0
80151601,"Desarrollo de las exportaciones",2016-10-01,0
80151602,"Planificación de las importaciones",2016-10-01,0
80151603,"Proyecciones de las exportaciones",2016-10-01,0
80151604,"Servicios de adquisición de importaciones",2016-10-01,0
80151605,"Servicios de consultoría aduanera",2016-10-01,1
